Student_ID,Branch,Year,Gender,Has_Internship,Startup_Interest,Startup_Timeline,Preferred_Domain,Tech_Skill_Score_1to5,Biz_Skill_Score_1to5,Avg_Skill_Score,Top_Tech_Skills,Top_Biz_Skills,Risk_Appetite,Primary_Barrier,Additional_Barriers,Funding_Awareness,Preferred_Funding_Source,Incubators_Known,Willing_to_Leave_Job,Took_Entrepreneurship_Course,Readiness_Score_0to10
STU0018,Electronics,Fourth Year,Female,No,Very Interested,After 2-3 Years of Job,SaaS,5,3,4.0,"Programming / Coding, App Development",Sales,Medium,No Co-founder / Team,Lack of Funding,Low,College Incubator,"IIT TBI, YCombinator",No,No,6.7
STU0019,Civil,Fourth Year,Female,No,Somewhat Interested,After 5+ Years,FinTech,4,3,3.5,"Data Analysis, Programming / Coding",Product Management,Low,Lack of Funding,"Lack of a Good Idea, No Co-founder / Team",Low,"Government Grants, Bootstrapping","Startup India, NASSCOM",Yes,No,5.2
STU0020,Computer Science,Third Year,Female,Yes,Somewhat Interested,During College,FinTech,3,2,2.5,"Cloud / DevOps, AI / Machine Learning",Financial Planning,Medium,Lack of Funding,Fear of Failure,Low,"Angel Investors, Government Grants",IIT TBI,Maybe,Yes,5.7
STU0021,Information Technology,Fourth Year,Male,Yes,Not Interested,Never,GreenTech,4,2,3.0,"Data Analysis, Programming / Coding","Networking, Communication",Low,Prefer Job Security,Lack of a Good Idea,Low,Bootstrapping,IIM Incubation Cell,Maybe,No,4.3
STU0022,Mechanical,Third Year,Male,Yes,Very Interested,After 2-3 Years of Job,E-commerce,4,4,4.0,"Web Development, Cybersecurity",Networking,High,No Co-founder / Team,Fear of Failure,Low,"Bootstrapping, Government Grants","IIM Incubation Cell, IIT TBI",No,No,7.6
STU0023,Computer Science,Third Year,Female,Yes,Very Interested,During College,Gaming,4,4,4.0,"Web Development, Cloud / DevOps","Networking, Communication, Leadership",High,Fear of Failure,"Prefer Job Security, No Co-founder / Team",Medium,"Angel Investors, Bootstrapping",IIT TBI,Yes,No,8.1
STU0024,Electronics,First Year,Male,No,Somewhat Interested,Never,AgriTech,3,3,3.0,"Programming / Coding, Cybersecurity","Leadership, Communication, Product Management",High,Lack of Funding,Unclear Market Opportunity,Low,Angel Investors,IIM Incubation Cell,Maybe,No,5.7
STU0025,Electronics,Third Year,Female,No,Somewhat Interested,Never,FinTech,3,3,3.0,Cloud / DevOps,Leadership,Medium,Lack of Funding,Lack of Business Knowledge,Low,Crowdfunding,YCombinator,No,No,5.2
STU0026,Mechanical,Third Year,Female,Yes,Somewhat Interested,Never,AgriTech,1,4,2.5,Web Development,"Communication, Networking, Product Management",Medium,No Co-founder / Team,Lack of Business Knowledge,Low,"Angel Investors, Venture Capital","Startup India, IIT TBI",No,No,5.2
STU0027,Information Technology,Fourth Year,Female,Yes,Neutral,After 5+ Years,Gaming,5,3,4.0,"AI / Machine Learning, Web Development, Cybersecurity",Marketing,Medium,Family Pressure / Expectations,"Fear of Failure, Unclear Market Opportunity",Low,Bootstrapping,"YCombinator, None",Maybe,Yes,6.7
STU0028,BBA,Fourth Year,Male,No,Very Interested,During College,SaaS,3,5,4.0,"Data Analysis, AI / Machine Learning",Financial Planning,High,No Co-founder / Team,Lack of Business Knowledge,Low,"Crowdfunding, Venture Capital","Startup India, IIT TBI",Maybe,No,7.1
STU0029,BBA,First Year,Female,No,Neutral,Never,FinTech,3,4,3.5,"AI / Machine Learning, Cloud / DevOps, Programming / Coding",Sales,Low,Family Pressure / Expectations,Unclear Market Opportunity,Low,Venture Capital,IIM Incubation Cell,No,No,4.8
STU0030,Computer Science,Third Year,Male,Yes,Neutral,Never,Gaming,4,2,3.0,"AI / Machine Learning, Data Analysis, Cybersecurity","Leadership, Sales, Marketing",Low,Fear of Failure,"Lack of Business Knowledge, Lack of a Good Idea",Medium,"Venture Capital, Bootstrapping",None,No,No,5.2
STU0031,Computer Science,Third Year,Male,Yes,Somewhat Interested,After 2-3 Years of Job,FinTech,4,3,3.5,Cloud / DevOps,"Financial Planning, Product Management",Low,No Co-founder / Team,Lack of a Good Idea,Low,Bootstrapping,"YCombinator, NASSCOM",No,No,5.7
STU0032,Computer Science,Fourth Year,Male,No,Very Interested,Right After Graduation,AI/ML,4,3,3.5,App Development,Networking,High,Lack of a Good Idea,Unclear Market Opportunity,Medium,Government Grants,"YCombinator, None",Yes,Yes,7.6
STU0033,BBA,Fourth Year,Male,No,Not Interested,Never,FinTech,2,3,2.5,"AI / Machine Learning, Programming / Coding","Financial Planning, Product Management",Medium,Prefer Job Security,Lack of Funding,High,Venture Capital,None,No,Yes,5.2
STU0034,Computer Science,Third Year,Male,Yes,Very Interested,Right After Graduation,SaaS,5,1,3.0,Data Analysis,Networking,High,Lack of Funding,"Lack of Business Knowledge, Unclear Market Opportunity",High,Angel Investors,NASSCOM,Yes,No,7.6
STU0035,MBA,First Year,Female,No,Very Interested,After 2-3 Years of Job,EdTech,2,5,3.5,"Cybersecurity, Cloud / DevOps, Data Analysis","Financial Planning, Product Management",Low,No Co-founder / Team,"Prefer Job Security, Family Pressure / Expectations",High,Government Grants,NASSCOM,Maybe,No,6.7
STU0036,Information Technology,Third Year,Male,Yes,Neutral,After 5+ Years,Gaming,5,3,4.0,"AI / Machine Learning, Cybersecurity",Financial Planning,Low,Prefer Job Security,Fear of Failure,Low,Government Grants,None,Yes,No,5.7
STU0037,Electronics,Second Year,Female,No,Somewhat Interested,During College,AI/ML,4,4,4.0,"AI / Machine Learning, Cloud / DevOps","Leadership, Product Management, Communication",Low,Lack of a Good Idea,"Family Pressure / Expectations, Lack of Funding",Low,"Angel Investors, Crowdfunding","IIM Incubation Cell, None",Maybe,Yes,6.2
STU0038,Civil,Third Year,Male,Yes,Neutral,After 2-3 Years of Job,HealthTech,3,3,3.0,"Web Development, AI / Machine Learning, Cloud / DevOps","Communication, Networking",Low,Family Pressure / Expectations,"Lack of Funding, Prefer Job Security",Low,Venture Capital,NASSCOM,Maybe,Yes,5.2
STU0039,Electronics,Fourth Year,Male,No,Not Interested,Never,HealthTech,3,3,3.0,"Programming / Coding, App Development","Product Management, Networking, Financial Planning",Low,Family Pressure / Expectations,Unclear Market Opportunity,Low,"Crowdfunding, Venture Capital","NASSCOM, IIM Incubation Cell",No,No,3.8
STU0040,Electronics,Third Year,Female,Yes,Neutral,After 2-3 Years of Job,E-commerce,4,4,4.0,"App Development, AI / Machine Learning","Leadership, Sales, Networking",Low,Prefer Job Security,Lack of Business Knowledge,Low,Government Grants,"YCombinator, IIT TBI",Yes,Yes,6.2
STU0041,Computer Science,First Year,Male,No,Very Interested,Right After Graduation,EdTech,5,3,4.0,App Development,"Sales, Leadership, Communication",High,Fear of Failure,"Unclear Market Opportunity, Prefer Job Security",Low,"Angel Investors, Government Grants",Startup India,Maybe,Yes,7.6
STU0042,Computer Science,Fourth Year,Female,Yes,Very Interested,After 2-3 Years of Job,EdTech,5,2,3.5,"Cloud / DevOps, Data Analysis","Leadership, Product Management, Financial Planning",High,No Co-founder / Team,"Family Pressure / Expectations, Prefer Job Security",Medium,"Bootstrapping, Angel Investors",Startup India,Maybe,No,7.6
STU0043,Electronics,Third Year,Male,Yes,Somewhat Interested,Right After Graduation,GreenTech,3,2,2.5,Programming / Coding,Financial Planning,High,Lack of Funding,"Lack of a Good Idea, Prefer Job Security",Medium,"Government Grants, Crowdfunding","YCombinator, IIM Incubation Cell",No,Yes,6.7
STU0044,Information Technology,Third Year,Male,No,Somewhat Interested,After 2-3 Years of Job,E-commerce,4,4,4.0,"Web Development, Cybersecurity, Cloud / DevOps",Financial Planning,Medium,Fear of Failure,Unclear Market Opportunity,Medium,"Angel Investors, College Incubator",IIM Incubation Cell,No,No,6.7
STU0045,Electronics,Third Year,Prefer not to say,No,Very Interested,During College,Social Impact,3,2,2.5,Cybersecurity,Leadership,High,Lack of Funding,"Fear of Failure, Lack of Business Knowledge",Medium,"Government Grants, Crowdfunding",NASSCOM,Maybe,Yes,6.7
STU0046,Electronics,Third Year,Prefer not to say,Yes,Somewhat Interested,Never,Gaming,4,3,3.5,"Data Analysis, Cloud / DevOps","Leadership, Sales",Medium,No Co-founder / Team,"Prefer Job Security, Lack of Business Knowledge",Medium,"Crowdfunding, Government Grants",None,Maybe,No,6.7
STU0047,Information Technology,Fourth Year,Male,No,Neutral,Right After Graduation,AgriTech,4,4,4.0,"Programming / Coding, Cloud / DevOps","Financial Planning, Sales",Low,Prefer Job Security,Lack of a Good Idea,Low,Angel Investors,"Startup India, YCombinator",No,No,5.2
STU0048,Information Technology,Third Year,Female,Yes,Very Interested,After 5+ Years,FinTech,5,2,3.5,"Cloud / DevOps, Data Analysis","Financial Planning, Marketing, Leadership",Medium,Lack of a Good Idea,Fear of Failure,High,"Government Grants, Bootstrapping","Startup India, YCombinator",Yes,No,7.6
STU0049,MBA,Second Year,Male,No,Somewhat Interested,After 5+ Years,EdTech,2,4,3.0,"Web Development, App Development","Marketing, Communication, Leadership",Medium,Lack of Funding,Prefer Job Security,High,"Government Grants, College Incubator","IIM Incubation Cell, Startup India",Maybe,Yes,6.7
STU0050,Information Technology,Fourth Year,Male,No,Somewhat Interested,After 2-3 Years of Job,EdTech,2,2,2.0,AI / Machine Learning,"Leadership, Marketing",Low,Lack of Funding,No Co-founder / Team,Medium,Government Grants,"Startup India, NASSCOM",No,No,4.3
STU0051,Computer Science,Second Year,Female,No,Somewhat Interested,After 5+ Years,Gaming,3,3,3.0,"Programming / Coding, Web Development, App Development","Product Management, Marketing, Networking",Low,No Co-founder / Team,Lack of Business Knowledge,Medium,Bootstrapping,"IIT TBI, NASSCOM",Yes,No,5.2
STU0052,Computer Science,Fourth Year,Male,Yes,Neutral,Never,Gaming,5,2,3.5,Web Development,"Sales, Leadership",Medium,Prefer Job Security,"Family Pressure / Expectations, Lack of a Good Idea",Low,Government Grants,"NASSCOM, Startup India",No,No,5.7
STU0053,Information Technology,Fourth Year,Male,Yes,Somewhat Interested,After 5+ Years,SaaS,5,3,4.0,"Programming / Coding, AI / Machine Learning, Data Analysis","Marketing, Product Management, Networking",Low,Lack of Funding,Unclear Market Opportunity,Medium,Bootstrapping,IIT TBI,No,No,6.7
STU0054,Computer Science,Third Year,Male,No,Very Interested,Right After Graduation,AI/ML,4,3,3.5,Web Development,"Marketing, Communication, Financial Planning",Medium,No Co-founder / Team,Fear of Failure,Low,"Angel Investors, Crowdfunding","None, Startup India",Maybe,No,6.2
STU0055,Information Technology,Fourth Year,Female,No,Somewhat Interested,During College,Gaming,4,3,3.5,AI / Machine Learning,Communication,Medium,Lack of Funding,Prefer Job Security,Medium,"Government Grants, Angel Investors",Startup India,No,No,6.2
STU0056,Electronics,Second Year,Male,No,Not Interested,Never,AI/ML,4,3,3.5,"Cybersecurity, Cloud / DevOps, Data Analysis",Product Management,Low,Lack of Business Knowledge,No Co-founder / Team,High,Crowdfunding,"None, YCombinator",No,No,5.2
STU0057,Information Technology,Fourth Year,Male,Yes,Somewhat Interested,During College,Social Impact,3,3,3.0,"Web Development, Cloud / DevOps, AI / Machine Learning",Communication,Low,Fear of Failure,Family Pressure / Expectations,High,"Bootstrapping, Government Grants","IIM Incubation Cell, NASSCOM",No,No,6.2
STU0058,Computer Science,Fourth Year,Male,No,Very Interested,Right After Graduation,SaaS,4,2,3.0,"Data Analysis, Web Development, Cybersecurity","Communication, Product Management, Sales",Medium,No Co-founder / Team,"Unclear Market Opportunity, Family Pressure / Expectations",High,"Venture Capital, Angel Investors","NASSCOM, None",No,No,6.7
STU0059,Information Technology,Fourth Year,Male,Yes,Very Interested,After 5+ Years,FinTech,4,2,3.0,"Data Analysis, Web Development","Communication, Product Management, Leadership",High,Lack of a Good Idea,Family Pressure / Expectations,Low,"Angel Investors, Government Grants","IIM Incubation Cell, NASSCOM",Maybe,No,6.7
STU0060,Electronics,Second Year,Male,No,Somewhat Interested,Right After Graduation,Social Impact,4,3,3.5,"AI / Machine Learning, Cybersecurity","Product Management, Sales, Communication",Medium,No Co-founder / Team,Lack of a Good Idea,Low,Bootstrapping,YCombinator,Maybe,No,5.7
STU0061,Civil,Third Year,Female,Yes,Very Interested,Right After Graduation,AgriTech,3,2,2.5,"Web Development, App Development",Product Management,High,No Co-founder / Team,Unclear Market Opportunity,Low,"Bootstrapping, College Incubator","None, NASSCOM",Yes,No,6.2
STU0062,Information Technology,First Year,Female,Yes,Neutral,Right After Graduation,Social Impact,4,3,3.5,"Data Analysis, AI / Machine Learning, App Development","Leadership, Communication",Low,Prefer Job Security,"Fear of Failure, Family Pressure / Expectations",Low,"Venture Capital, Government Grants","NASSCOM, YCombinator",Maybe,No,5.2
STU0063,Computer Science,Third Year,Male,No,Neutral,After 2-3 Years of Job,Gaming,4,2,3.0,Programming / Coding,"Financial Planning, Sales, Marketing",Medium,Lack of Business Knowledge,"Lack of a Good Idea, Prefer Job Security",High,College Incubator,IIT TBI,Yes,No,5.7
STU0064,Computer Science,Third Year,Male,Yes,Somewhat Interested,After 5+ Years,SaaS,4,3,3.5,"Cybersecurity, App Development, Cloud / DevOps","Marketing, Financial Planning",Medium,Lack of Funding,"Family Pressure / Expectations, Unclear Market Opportunity",Medium,Venture Capital,"IIT TBI, Startup India",No,No,6.7
STU0065,Information Technology,Third Year,Female,Yes,Very Interested,After 5+ Years,SaaS,4,2,3.0,"Data Analysis, AI / Machine Learning, Programming / Coding",Communication,Medium,Lack of a Good Idea,Unclear Market Opportunity,Medium,"Bootstrapping, College Incubator","None, IIT TBI",Maybe,No,6.7
STU0066,Mechanical,Second Year,Male,No,Somewhat Interested,During College,Gaming,5,3,4.0,"AI / Machine Learning, Data Analysis",Sales,Medium,Lack of Funding,"No Co-founder / Team, Prefer Job Security",Low,"Government Grants, Bootstrapping","IIM Incubation Cell, None",No,No,6.2
STU0067,Mechanical,Third Year,Male,Yes,Very Interested,During College,Gaming,3,2,2.5,Cybersecurity,"Sales, Marketing, Financial Planning",Medium,No Co-founder / Team,Fear of Failure,Low,"Crowdfunding, College Incubator",YCombinator,No,Yes,6.2
STU0068,Electronics,Fourth Year,Female,No,Neutral,After 5+ Years,GreenTech,3,3,3.0,"Web Development, Cybersecurity, Cloud / DevOps","Networking, Communication",Medium,Lack of Business Knowledge,Prefer Job Security,Medium,Crowdfunding,"Startup India, YCombinator",Yes,No,5.2
STU0069,MBA,Second Year,Female,No,Very Interested,After 5+ Years,EdTech,2,4,3.0,Cloud / DevOps,Sales,Low,Fear of Failure,Prefer Job Security,Low,Angel Investors,IIT TBI,No,No,5.2
STU0070,Computer Science,Third Year,Male,Yes,Very Interested,After 5+ Years,AI/ML,5,2,3.5,Web Development,"Product Management, Communication",High,Fear of Failure,Lack of a Good Idea,Medium,Venture Capital,"Startup India, IIM Incubation Cell",Maybe,No,7.6
STU0071,Information Technology,Fourth Year,Male,Yes,Not Interested,Never,EdTech,3,2,2.5,Cloud / DevOps,Sales,Low,Prefer Job Security,"Lack of Business Knowledge, Family Pressure / Expectations",High,Crowdfunding,NASSCOM,No,No,4.8
STU0072,Electronics,Fourth Year,Prefer not to say,No,Somewhat Interested,After 2-3 Years of Job,AgriTech,3,3,3.0,AI / Machine Learning,Marketing,High,Lack of Funding,Unclear Market Opportunity,Medium,"Crowdfunding, College Incubator",IIT TBI,Maybe,No,6.2
STU0073,Computer Science,Fourth Year,Male,Yes,Somewhat Interested,During College,AI/ML,4,1,2.5,"Cloud / DevOps, AI / Machine Learning","Leadership, Sales, Communication",Low,Fear of Failure,"No Co-founder / Team, Lack of Funding",Low,Government Grants,"NASSCOM, IIM Incubation Cell",Maybe,Yes,5.2
STU0074,Information Technology,Fourth Year,Male,No,Very Interested,During College,AI/ML,4,2,3.0,Programming / Coding,Product Management,Low,No Co-founder / Team,"Lack of Business Knowledge, Lack of a Good Idea",Low,"Crowdfunding, Bootstrapping",None,Maybe,No,5.2
STU0075,MBA,Fourth Year,Male,Yes,Neutral,After 5+ Years,Social Impact,2,4,3.0,"Cloud / DevOps, Web Development, AI / Machine Learning",Communication,Medium,Family Pressure / Expectations,No Co-founder / Team,High,Government Grants,"None, NASSCOM",Maybe,Yes,6.7
STU0076,MBA,Second Year,Male,No,Not Interested,Never,EdTech,2,5,3.5,"Cloud / DevOps, Programming / Coding",Sales,Low,Family Pressure / Expectations,"No Co-founder / Team, Lack of a Good Idea",High,"College Incubator, Government Grants","None, NASSCOM",No,Yes,5.7
STU0077,Computer Science,Second Year,Female,Yes,Neutral,After 2-3 Years of Job,EdTech,5,2,3.5,AI / Machine Learning,"Sales, Marketing",Low,Fear of Failure,No Co-founder / Team,Medium,"Government Grants, Bootstrapping","YCombinator, IIM Incubation Cell",Maybe,No,5.7
STU0078,Computer Science,Second Year,Male,Yes,Not Interested,Never,SaaS,3,3,3.0,"App Development, Web Development","Leadership, Marketing, Financial Planning",Low,Family Pressure / Expectations,Lack of Business Knowledge,Low,"Government Grants, College Incubator","YCombinator, IIT TBI",No,No,4.3
STU0079,Mechanical,Second Year,Female,No,Somewhat Interested,During College,Social Impact,4,2,3.0,"App Development, Data Analysis, Cloud / DevOps","Communication, Marketing",Low,Lack of Funding,Fear of Failure,Low,Government Grants,"IIM Incubation Cell, IIT TBI",Maybe,Yes,5.2
STU0080,Computer Science,First Year,Male,No,Somewhat Interested,Right After Graduation,FinTech,4,3,3.5,Web Development,"Sales, Communication, Networking",High,Lack of a Good Idea,Unclear Market Opportunity,Low,Government Grants,"NASSCOM, None",Yes,No,6.2
STU0081,Information Technology,Fourth Year,Male,No,Not Interested,Never,AI/ML,3,3,3.0,App Development,"Product Management, Financial Planning, Marketing",Low,Prefer Job Security,Family Pressure / Expectations,High,"Bootstrapping, Venture Capital","NASSCOM, Startup India",No,No,4.8
STU0082,Computer Science,First Year,Male,No,Not Interested,Never,EdTech,4,3,3.5,"Cloud / DevOps, Web Development, Data Analysis","Communication, Leadership",Low,Fear of Failure,"Prefer Job Security, Lack of Business Knowledge",High,"Government Grants, Venture Capital","Startup India, YCombinator",No,No,5.2
STU0083,Computer Science,Third Year,Female,Yes,Somewhat Interested,After 2-3 Years of Job,FinTech,4,2,3.0,App Development,"Financial Planning, Leadership",Medium,Lack of Funding,Unclear Market Opportunity,High,"College Incubator, Government Grants",Startup India,Maybe,No,6.7
STU0084,Electronics,Second Year,Male,Yes,Very Interested,After 2-3 Years of Job,GreenTech,4,3,3.5,Web Development,Financial Planning,Medium,Lack of a Good Idea,"Unclear Market Opportunity, Prefer Job Security",Medium,Crowdfunding,"IIM Incubation Cell, NASSCOM",Maybe,No,7.1
STU0085,Information Technology,Second Year,Male,No,Somewhat Interested,Right After Graduation,EdTech,3,2,2.5,Web Development,"Financial Planning, Marketing, Leadership",Medium,No Co-founder / Team,"Lack of Funding, Unclear Market Opportunity",High,"College Incubator, Bootstrapping","Startup India, YCombinator",Yes,Yes,6.2
STU0086,Information Technology,Third Year,Female,Yes,Somewhat Interested,Never,AI/ML,3,2,2.5,"Web Development, AI / Machine Learning, Cybersecurity","Marketing, Communication, Networking",Medium,Lack of Funding,"Prefer Job Security, Unclear Market Opportunity",Low,"Angel Investors, Bootstrapping",None,Maybe,No,5.2
STU0087,Electronics,First Year,Male,No,Very Interested,Right After Graduation,FinTech,3,3,3.0,"Cybersecurity, Programming / Coding, Web Development",Product Management,Medium,No Co-founder / Team,"Lack of Funding, Unclear Market Opportunity",Low,"Bootstrapping, Venture Capital","IIM Incubation Cell, None",Yes,No,5.7
STU0088,BBA,Second Year,Female,No,Somewhat Interested,After 2-3 Years of Job,EdTech,2,4,3.0,Data Analysis,"Leadership, Communication, Financial Planning",Low,No Co-founder / Team,"Lack of a Good Idea, Family Pressure / Expectations",Medium,Crowdfunding,IIT TBI,Maybe,Yes,5.7
STU0089,Civil,Third Year,Female,No,Neutral,During College,FinTech,2,2,2.0,Web Development,"Financial Planning, Networking, Leadership",Low,Family Pressure / Expectations,"Lack of Business Knowledge, Unclear Market Opportunity",Low,Government Grants,"NASSCOM, Startup India",Yes,No,3.3
STU0090,Information Technology,Third Year,Male,Yes,Somewhat Interested,Right After Graduation,GreenTech,3,2,2.5,Programming / Coding,"Sales, Communication",Low,Lack of a Good Idea,"Unclear Market Opportunity, Lack of Business Knowledge",High,"Government Grants, Venture Capital","None, NASSCOM",Maybe,No,5.7
STU0091,Information Technology,Third Year,Prefer not to say,Yes,Neutral,After 2-3 Years of Job,AI/ML,5,2,3.5,"Programming / Coding, Data Analysis","Communication, Sales",Medium,Lack of Business Knowledge,Family Pressure / Expectations,Low,College Incubator,"None, Startup India",Maybe,No,5.7
STU0092,Computer Science,Third Year,Male,Yes,Neutral,Right After Graduation,Gaming,3,3,3.0,"Cybersecurity, Cloud / DevOps, Programming / Coding","Product Management, Leadership, Sales",Low,Family Pressure / Expectations,"Lack of a Good Idea, Lack of Funding",Medium,"Angel Investors, College Incubator",YCombinator,Maybe,No,5.2
STU0093,Computer Science,Fourth Year,Male,Yes,Very Interested,After 2-3 Years of Job,FinTech,4,2,3.0,"Cloud / DevOps, Data Analysis, Programming / Coding","Product Management, Marketing, Sales",Low,No Co-founder / Team,"Unclear Market Opportunity, Prefer Job Security",High,"College Incubator, Angel Investors","IIM Incubation Cell, YCombinator",Yes,No,6.7
STU0094,Information Technology,Second Year,Male,Yes,Somewhat Interested,Right After Graduation,AI/ML,4,3,3.5,"Cloud / DevOps, Web Development",Financial Planning,Medium,No Co-founder / Team,Lack of a Good Idea,Medium,"Crowdfunding, College Incubator",YCombinator,Yes,Yes,7.1
STU0095,Mechanical,Fourth Year,Male,No,Neutral,After 2-3 Years of Job,E-commerce,3,3,3.0,"Cybersecurity, Web Development","Product Management, Sales",Medium,Prefer Job Security,"Unclear Market Opportunity, Fear of Failure",Medium,Angel Investors,NASSCOM,Maybe,Yes,5.7
STU0096,Computer Science,Third Year,Female,Yes,Somewhat Interested,During College,FinTech,4,3,3.5,"Cloud / DevOps, Cybersecurity, Web Development","Sales, Marketing, Leadership",Low,Fear of Failure,Prefer Job Security,Medium,Government Grants,Startup India,No,Yes,6.7
STU0097,Computer Science,Second Year,Female,No,Very Interested,Right After Graduation,SaaS,3,3,3.0,"AI / Machine Learning, App Development, Web Development","Sales, Marketing, Financial Planning",High,Lack of Funding,"Unclear Market Opportunity, Prefer Job Security",Low,"Crowdfunding, Angel Investors","IIM Incubation Cell, YCombinator",Yes,Yes,6.7
